:TYPE,:START_ID(Person),:END_ID(Email)
:HAS_EMAIL,0,0
:HAS_EMAIL,1,1
:HAS_EMAIL,2,2
:HAS_EMAIL,3,3
:HAS_EMAIL,4,4
:HAS_EMAIL,5,5
:HAS_EMAIL,6,6
:HAS_EMAIL,7,7
:HAS_EMAIL,8,8
:HAS_EMAIL,9,9
:HAS_EMAIL,10,10
:HAS_EMAIL,11,11
:HAS_EMAIL,12,12
:HAS_EMAIL,13,13
:HAS_EMAIL,14,14
:HAS_EMAIL,15,15
:HAS_EMAIL,16,16
:HAS_EMAIL,17,17
:HAS_EMAIL,18,18
:HAS_EMAIL,19,19
:HAS_EMAIL,20,20
:HAS_EMAIL,21,21
:HAS_EMAIL,22,22
:HAS_EMAIL,23,23
:HAS_EMAIL,24,24
:HAS_EMAIL,25,25
:HAS_EMAIL,26,26
:HAS_EMAIL,27,27
:HAS_EMAIL,28,28
:HAS_EMAIL,29,29
:HAS_EMAIL,30,30
:HAS_EMAIL,31,31
:HAS_EMAIL,32,32
:HAS_EMAIL,33,33
:HAS_EMAIL,34,34
:HAS_EMAIL,35,35
:HAS_EMAIL,36,36
:HAS_EMAIL,37,37
:HAS_EMAIL,38,38
:HAS_EMAIL,39,39
:HAS_EMAIL,40,40
:HAS_EMAIL,41,41
:HAS_EMAIL,42,42
:HAS_EMAIL,43,43
:HAS_EMAIL,44,44
:HAS_EMAIL,45,45
:HAS_EMAIL,46,46
:HAS_EMAIL,47,47
:HAS_EMAIL,48,48
:HAS_EMAIL,49,49
:HAS_EMAIL,50,50
:HAS_EMAIL,51,51
:HAS_EMAIL,52,52
:HAS_EMAIL,53,53
:HAS_EMAIL,54,54
:HAS_EMAIL,55,55
:HAS_EMAIL,56,56
:HAS_EMAIL,57,57
:HAS_EMAIL,58,58
:HAS_EMAIL,59,59
:HAS_EMAIL,60,60
:HAS_EMAIL,61,61
:HAS_EMAIL,62,62
:HAS_EMAIL,63,63
:HAS_EMAIL,64,64
:HAS_EMAIL,65,65
:HAS_EMAIL,66,66
:HAS_EMAIL,67,67
:HAS_EMAIL,68,68
:HAS_EMAIL,69,69
:HAS_EMAIL,70,70
:HAS_EMAIL,71,71
:HAS_EMAIL,72,72
:HAS_EMAIL,73,73
:HAS_EMAIL,74,74
:HAS_EMAIL,75,75
:HAS_EMAIL,76,76
:HAS_EMAIL,77,77
:HAS_EMAIL,78,78
:HAS_EMAIL,79,79
:HAS_EMAIL,80,80
:HAS_EMAIL,81,81
:HAS_EMAIL,82,82
:HAS_EMAIL,83,83
:HAS_EMAIL,84,84
:HAS_EMAIL,85,85
:HAS_EMAIL,86,86
:HAS_EMAIL,87,87
:HAS_EMAIL,88,88
:HAS_EMAIL,89,89
:HAS_EMAIL,90,90
:HAS_EMAIL,91,91
:HAS_EMAIL,92,92
:HAS_EMAIL,93,93
:HAS_EMAIL,94,94
:HAS_EMAIL,95,95
