:TYPE,:START_ID(Person),rank:long,:END_ID(Person)
RANKED,0, 0, 8062
RANKED,1, 0, 9311
RANKED,1, 1, 7045
RANKED,1, 2, 5452
RANKED,1, 3, 5390
RANKED,1, 4, 4383
RANKED,1, 5, 5183
RANKED,2, 0, 3555
RANKED,2, 1, 5292
RANKED,2, 2, 4095
RANKED,2, 3, 4289
RANKED,3, 0, 8724
RANKED,3, 1, 5317
RANKED,3, 2, 9628
RANKED,3, 3, 774
RANKED,3, 4, 8536
RANKED,3, 5, 1475
RANKED,3, 6, 7532
RANKED,3, 7, 3649
RANKED,3, 8, 9597
RANKED,4, 0, 7948
RANKED,4, 1, 4713
RANKED,4, 2, 6067
RANKED,4, 3, 2570
RANKED,4, 4, 7926
RANKED,4, 5, 4743
RANKED,4, 6, 2506
RANKED,4, 7, 1719
RANKED,4, 8, 6341
RANKED,5, 0, 1847
RANKED,5, 1, 7442
RANKED,5, 2, 7706
RANKED,5, 3, 8614
RANKED,5, 4, 3051
RANKED,5, 5, 2339
RANKED,5, 6, 5365
RANKED,5, 7, 8668
RANKED,5, 8, 7539
RANKED,5, 9, 2618
RANKED,5, 10, 3102
RANKED,5, 11, 1245
RANKED,5, 12, 8183
RANKED,5, 13, 7811
RANKED,5, 14, 3030
RANKED,6, 0, 7328
RANKED,6, 1, 9870
RANKED,6, 2, 2328
RANKED,6, 3, 3446
RANKED,6, 4, 9194
RANKED,6, 5, 6856
RANKED,6, 6, 6636
RANKED,6, 7, 9671
RANKED,7, 0, 5518
RANKED,7, 1, 2932
RANKED,7, 2, 7256
RANKED,7, 3, 6499
RANKED,7, 4, 35
RANKED,8, 0, 8011
RANKED,8, 1, 2850
RANKED,8, 2, 2523
RANKED,8, 3, 7079
RANKED,8, 4, 4258
RANKED,9, 0, 3722
RANKED,9, 1, 5131
RANKED,9, 2, 1134
RANKED,9, 3, 2581
RANKED,9, 4, 3811
RANKED,9, 5, 5578
RANKED,9, 6, 3839
RANKED,9, 7, 5306
RANKED,9, 8, 3044
RANKED,9, 9, 3454
RANKED,9, 10, 6250
RANKED,10, 0, 7573
RANKED,10, 1, 2777
RANKED,10, 2, 7650
RANKED,10, 3, 7534
RANKED,10, 4, 6843
RANKED,10, 5, 5986
RANKED,11, 0, 6598
RANKED,11, 1, 8531
RANKED,11, 2, 5538
RANKED,11, 3, 35
RANKED,11, 4, 2171
RANKED,11, 5, 116
RANKED,11, 6, 8298
RANKED,11, 7, 892
RANKED,11, 8, 9514
RANKED,11, 9, 7581
